"data_d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-10,16,-33,-48,-15,4,53.35,41.98
40,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-11,14,-35,-49,-16,4,55.52,43.28
30,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-11,13,-34,-49,-16,4,59.84,45.37
22,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,12,-36,-51,-15,5,73.96,52.47
32,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,10,-41,-51,0,2,76.77,56.9
20,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,10,-34,-52,-7,3,65.03,47.43
29,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-12,11,-33,-49,-17,3,57.95,44.02
35,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,10,-34,-50,-18,3,57.24,44.06
51,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,8,-35,-50,-18,4,56.44,42.5
31,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,7,-35,-49,-17,4,59.53,43.58
44,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,11,-37,-50,-16,5,73.65,53.23
